Loading data...
Found 1731 confirmed mismatches to relabel
Caching reference images...
  Cached 346 reference images
To process: 1731
  [1/1731] ✓ ann    29: C:100 O:100 G:100 agree EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.1/s, ETA:194m)
  [840/1731] ? ann 11503: C:261 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 261(MÜSLI HASSELNØTT 600) (0.3/s, ETA:55m)
  [841/1731] ? ann 26250: C:265 O:None G:None split KNEKKEBRØD SPORT+ 210G WA -> 265(MELLOMBAR SUKKERFRI ) (0.3/s, ETA:55m)
  [842/1731] ✓ ann 19042: C:338 O:338 G:None agree FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:55m)
  [843/1731] ? ann  1948: C:259 O:None G:None split NESCAFE LATTE 144G -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:55m)
  [844/1731] ? ann 20738: C:244 O:271 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:55m)
  [845/1731] ? ann 29127: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:55m)
  [846/1731] ? ann  3901: C:16 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 16(CAPPUCCINO 8KAPSLER ) (0.3/s, ETA:55m)
  [847/1731] ? ann  1153: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:55m)
  [848/1731] ? ann 29320: C:265 O:244 G:None split FRUKOST FULLKORN 320G WAS -> 265(MELLOMBAR SUKKERFRI ) (0.3/s, ETA:55m)
  [849/1731] ? ann  2109: C:259 O:None G:None split NESCAFE LATTE 144G -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:55m)
  [850/1731] ? ann  9700: C:275 O:72 G:None split GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:55m)
  [851/1731] ? ann 31305: C:86 O:184 G:None split LEKSANDS KNEKKE GODT STEK -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:55m)
  [852/1731] ? ann 24330: C:244 O:None G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:55m)
  [853/1731] ✓ ann  2562: C:100 O:100 G:100 agree EVERGOOD DARK ROAST PRESS -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:55m)
  [854/1731] ? ann 27309: C:244 O:52 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:55m)
  [855/1731] ? ann  1386: C:100 O:None G:None split COTW LUNGO ØKOLOGISK KAFF -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:55m)
  [856/1731] ? ann 31557: C:116 O:None G:None split CHEERIOS HAVRE 375G NESTL -> 116(FROKOSTBLANDING LION) (0.3/s, ETA:54m)
  [857/1731] ? ann  6471: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:54m)
  [858/1731] ? ann 29742: C:338 O:84 G:None split FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:54m)
  [859/1731] ✓ ann  3851: C:146 O:146 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 146(NESCAFE GULL 200G NE) (0.3/s, ETA:54m)
  [860/1731] ✓ ann  8759: C:275 O:275 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:54m)
  [861/1731] ? ann 33681: C:55 O:243 G:None split LEKSANDS KNEKKE FIBERBIT  -> 55(COTW LUNGO KOFFEINFR) (0.3/s, ETA:54m)
  [862/1731] ? ann 24299: C:90 O:None G:None split HUSMAN KNEKKEBRØD 260G WA -> 90(GRANOLA PEKAN GL.FRI) (0.3/s, ETA:54m)
  [863/1731] ? ann  2464: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:54m)
  [864/1731] ? ann 12107: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:54m)
  [865/1731] ✓ ann  8069: C:275 O:275 G:None agree EGG ØKOLOGISK M/L 12STK V -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:54m)
  [866/1731] ? ann 11209: C:161 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:54m)
  [867/1731] ? ann 33820: C:306 O:None G:239 split RISKAKER 100G FIRST PRICE -> 306(NESCAFE GULL 100G RE) (0.3/s, ETA:54m)
  [868/1731] ✓ ann 17573: C:97 O:97 G:97 agree CHEERIOS HAVRE 375G NESTL -> 97(CHEERIOS MULTI 375G ) (0.3/s, ETA:54m)
  [869/1731] ? ann  2171: C:9 O:None G:None split GRANDE INTENSO 16KAPSLER  -> 9(ESPRESSO INTENSO 16K) (0.3/s, ETA:54m)
  [870/1731] ? ann 30288: C:147 O:None G:None split SURDEIG KNEKKEBRØD WASA -> 147(ROOIBOS TE ØKOLOGISK) (0.3/s, ETA:53m)
  [871/1731] ? ann 25084: C:130 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 130(WEETOS CHOCO 375G WE) (0.3/s, ETA:53m)
  [872/1731] ? ann 24287: C:268 O:None G:None split HAVRE KNEKKEBRØD 300G WAS -> 268(SUPERGRØT KANEL&PUFF) (0.3/s, ETA:53m)
  [873/1731] ? ann    87: C:321 O:100 G:172 split FRIELE FROKOST FILTERMALT -> 321(GIFFLAR KANEL 300G P) (0.3/s, ETA:53m)
  [874/1731] ? ann 24301: C:109 O:None G:None split DELIKATESS SESAM 285G WAS -> 109(KNEKKEBRØD 100 FRØ&H) (0.3/s, ETA:53m)
  [875/1731] ? ann 11994: C:161 O:170 G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:53m)
  [876/1731] ? ann 10344: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:53m)
  [877/1731] ? ann 32084: C:39 O:109 G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:53m)
  [878/1731] ? ann  1006: C:56 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:53m)
  [879/1731] ✓ ann 28517: C:39 O:39 G:None agree KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:53m)
  [880/1731] ✓ ann 25842: C:39 O:39 G:None agree KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:53m)
  [881/1731] ? ann 19180: C:84 O:86 G:None split FRUKOST FULLKORN 320G WAS -> 84(HAVRE KNEKKEBRØD ØKO) (0.3/s, ETA:53m)
  [882/1731] ? ann 33885: C:39 O:109 G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:53m)
  [883/1731] ? ann  1005: C:259 O:None G:None split NESCAFÉ MOCHA 136G NESTLE -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:53m)
  [884/1731] ? ann 22831: C:132 O:None G:None split FLATBRØD ØKOLOGISK 190G R -> 132(FRUKOST FULLKORN 320) (0.3/s, ETA:53m)
  [885/1731] ✓ ann 10693: C:342 O:338 G:338 agree GRANOLA MED JORDBÆR 390G  -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:53m)
  [886/1731] ? ann  2352: C:87 O:46 G:None split FIRE RØDE FRUKTER 25POS T -> 87(SPICY INDIAN CHAI TE) (0.3/s, ETA:52m)
  [887/1731] ✓ ann 18321: C:47 O:47 G:None agree BERIT GRANOLA M/PUFFET HA -> 47(GRANOLA EPLE&KANEL 4) (0.3/s, ETA:52m)
  [888/1731] ? ann 29439: C:307 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 307(MAISKAKER OST 125G F) (0.3/s, ETA:52m)
  [889/1731] ✓ ann 11228: C:59 O:59 G:59 agree MUSLI FRUKT 700G AXA -> 59(MÜSLI BLÅBÆR 630G AX) (0.3/s, ETA:52m)
  [890/1731] ✓ ann 27989: C:226 O:226 G:None agree FRØ & HAVSALT 200G LEKSAN -> 226(LEKSANDS TREKANT HAV) (0.3/s, ETA:52m)
  [891/1731] ? ann 24570: C:111 O:None G:87 split KNEKKEBRØD 100 FRØ&HAVSAL -> 111(NESCAFE BRASERO 100G) (0.3/s, ETA:52m)
  [892/1731] ? ann 28021: C:309 O:None G:None split SANDWICH CHEESE TOMAT&BAS -> 309(FIRE RØDE FRUKTER 25) (0.3/s, ETA:52m)
  [893/1731] ✓ ann  5870: C:172 O:100 G:100 agree EVERGOOD CLASSIC KOKMALT  -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:52m)
  [894/1731] ? ann 33961: C:84 O:None G:None split FRUKOST FULLKORN 320G WAS -> 84(HAVRE KNEKKEBRØD ØKO) (0.3/s, ETA:52m)
  [895/1731] ? ann 24199: C:90 O:None G:None split HUSMAN KNEKKEBRØD 260G WA -> 90(GRANOLA PEKAN GL.FRI) (0.3/s, ETA:52m)
  [896/1731] ✓ ann 19802: C:271 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:52m)
  [897/1731] ? ann 15239: C:183 O:None G:None split CHEERIOS HAVRE 375G NESTL -> 183(KNEKKEBRØD GODT FOR ) (0.3/s, ETA:52m)
  [898/1731] ? ann 21758: C:244 O:338 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:52m)
  [899/1731] ? ann 24254: C:109 O:None G:None split DELIKATESS SESAM 285G WAS -> 109(KNEKKEBRØD 100 FRØ&H) (0.3/s, ETA:52m)
  [900/1731] ? ann 32562: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:52m)
  [901/1731] ✓ ann 25095: C:246 O:246 G:None agree FRUKOST FULLKORN 320G WAS -> 246(HUSMAN KNEKKEBRØD 26) (0.3/s, ETA:52m)
  [902/1731] ? ann 21431: C:244 O:None G:None split FIBER BALANCE 230G WASA -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:51m)
  [903/1731] ? ann 24836: C:39 O:86 G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:51m)
  [904/1731] ? ann 24286: C:308 O:None G:None split HAVRE KNEKKEBRØD 300G WAS -> 308(HAVREGRANOLA  JORDBÆ) (0.3/s, ETA:51m)
  [905/1731] ? ann 22461: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:51m)
  [906/1731] ✓ ann 12017: C:23 O:23 G:23 agree CHEERIOS HAVRE 375G NESTL -> 23(FITNESS FROKOST 375G) (0.3/s, ETA:51m)
  [907/1731] ✓ ann 25226: C:86 O:86 G:None agree KNEKKEBRØD SPORT+ 210G WA -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:51m)
  [908/1731] ? ann 26450: C:86 O:None G:252 split KNEKKEBRØD URTER&HAVSALT  -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:51m)
  [909/1731] ? ann 32621: C:338 O:None G:None split FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:51m)
  [910/1731] ✓ ann   172: C:146 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:51m)
  [911/1731] ? ann 11077: C:116 O:187 G:None split GRANOLA MANDLER &QUINOA 4 -> 116(FROKOSTBLANDING LION) (0.3/s, ETA:51m)
  [912/1731] ? ann 27861: C:265 O:244 G:None split FRUKOST FULLKORN 320G WAS -> 265(MELLOMBAR SUKKERFRI ) (0.3/s, ETA:51m)
  [913/1731] ✓ ann 21944: C:226 O:226 G:None agree LEKSANDS KNEKKE GODT STEK -> 226(LEKSANDS TREKANT HAV) (0.3/s, ETA:51m)
  [914/1731] ? ann  8147: C:199 O:175 G:None split SOFT FLORA ORIGINAL 540G -> 199(GREEN CEYLON TE ØKOL) (0.3/s, ETA:51m)
  [915/1731] ? ann 11996: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:51m)
  [916/1731] ? ann  2555: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:51m)
  [917/1731] ? ann 11995: C:161 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:51m)
  [918/1731] ? ann 19045: C:293 O:338 G:None split PREMIUM DARK ORANGE 100G  -> 293(NUTELLA BISCUITS 193) (0.3/s, ETA:50m)
  [919/1731] ? ann 28037: C:39 O:158 G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:50m)
  [920/1731] ? ann 34084: C:197 O:271 G:None split KNEKKEBRØD SPORT+ 210G WA -> 197(SPECIAL K CLASSIC 33) (0.3/s, ETA:50m)
  [921/1731] ? ann 25073: C:345 O:None G:None split FRØKRISP KNEKKEBRØD ØKOLO -> 345(KNEKKEBRØD URTER&HAV) (0.3/s, ETA:50m)
  [922/1731] ? ann 28737: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:50m)
  [923/1731] ✓ ann 17571: C:50 O:97 G:97 agree CHEERIOS HAVRE 375G NESTL -> 97(CHEERIOS MULTI 375G ) (0.3/s, ETA:50m)
  [924/1731] ✓ ann 33682: C:235 O:235 G:None agree HUSMAN KNEKKEBRØD 260G WA -> 235(FLATBRØD ØKOLOGISK 1) (0.3/s, ETA:50m)
  [925/1731] ? ann 21853: C:244 O:86 G:None split FRUKOST FULLKORN 320G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:50m)
  [926/1731] ✓ ann 12016: C:23 O:23 G:23 agree CHEERIOS HAVRE 375G NESTL -> 23(FITNESS FROKOST 375G) (0.3/s, ETA:50m)
  [927/1731] ✓ ann 29545: C:86 O:86 G:244 agree FRUKOST FULLKORN 320G WAS -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:50m)
  [928/1731] ? ann 32826: C:39 O:109 G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:50m)
  [929/1731] ? ann 34135: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:50m)
  [930/1731] ? ann 32838: C:197 O:244 G:None split KNEKKEBRØD SPORT+ 210G WA -> 197(SPECIAL K CLASSIC 33) (0.3/s, ETA:50m)
  [931/1731] ✓ ann  3881: C:56 O:16 G:16 agree NESCAFÉ CAPPUCCINO 100G N -> 16(CAPPUCCINO 8KAPSLER ) (0.3/s, ETA:50m)
  [932/1731] ? ann 20405: C:338 O:246 G:None split FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:50m)
  [933/1731] ? ann 28819: C:39 O:None G:38 split FIBER BALANCE 230G WASA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:49m)
  [934/1731] ✓ ann 31033: C:338 O:338 G:None agree FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:49m)
  [935/1731] ? ann  2104: C:172 O:49 G:None split EVERGOOD CLASSIC FILTERMA -> 172(FRIELE INSTANT GULL ) (0.3/s, ETA:49m)
  [936/1731] ? ann 28129: C:338 O:109 G:None split FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:49m)
  [937/1731] ? ann 10554: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:49m)
  [938/1731] ? ann 24191: C:307 O:None G:None split SANDWICH CHEESE TOMAT&BAS -> 307(MAISKAKER OST 125G F) (0.3/s, ETA:49m)
  [939/1731] ? ann  3002: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:49m)
  [940/1731] ? ann  1955: C:172 O:None G:None split FRIELE FROKOST FILTERMALT -> 172(FRIELE INSTANT GULL ) (0.3/s, ETA:49m)
  [941/1731] ? ann 34083: C:197 O:None G:None split KNEKKEBRØD SPORT+ 210G WA -> 197(SPECIAL K CLASSIC 33) (0.3/s, ETA:49m)
  [942/1731] ✓ ann 23691: C:271 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:49m)
  [943/1731] ? ann 18233: C:92 O:14 G:None split GRANOLA MED JORDBÆR 390G  -> 92(KNEKKEBRØD GODT FOR ) (0.3/s, ETA:49m)
  [944/1731] ? ann 32321: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:49m)
  [945/1731] ✓ ann 24889: C:244 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:49m)
  [946/1731] ? ann 24150: C:244 O:52 G:None split KNEKKEBRØD SPORT+ 210G WA -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:49m)
  [947/1731] ? ann 24264: C:323 O:None G:None split SURDEIG KNEKKEBRØD WASA -> 323(KRUTONGER CHEESE&GAR) (0.3/s, ETA:49m)
  [948/1731] ✓ ann 10580: C:47 O:47 G:47 agree SUPERGRANOLA GLUTENFRI 35 -> 47(GRANOLA EPLE&KANEL 4) (0.3/s, ETA:48m)
  [949/1731] ✓ ann 11111: C:261 O:261 G:261 agree CRUESLI SOLFROKOST 450G Q -> 261(MÜSLI HASSELNØTT 600) (0.3/s, ETA:48m)
  [950/1731] ✓ ann 29110: C:52 O:52 G:244 agree FIBER BALANCE 230G WASA -> 52(RUGSPRØ 200G WASA) (0.3/s, ETA:48m)
  [951/1731] ✓ ann 12009: C:34 O:34 G:34 agree GRANOLA MANDLER &QUINOA 4 -> 34(SMACKS 330G KELLOGG') (0.3/s, ETA:48m)
  [952/1731] ? ann     3: C:259 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:48m)
  [953/1731] ? ann 16179: C:170 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 170(MÜSLI ENERGI 650G AX) (0.3/s, ETA:48m)
  [954/1731] ✓ ann  4919: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:48m)
  [955/1731] ? ann 20017: C:147 O:236 G:None split LEKSANDS KNEKKE FIBERBIT  -> 147(ROOIBOS TE ØKOLOGISK) (0.3/s, ETA:48m)
  [956/1731] ? ann 20554: C:130 O:246 G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 130(WEETOS CHOCO 375G WE) (0.3/s, ETA:48m)
  [957/1731] ✓ ann  2150: C:100 O:100 G:None agree EVERGOOD KOFFEINFRI FILTE -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:48m)
  [958/1731] ? ann 17159: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:48m)
  [959/1731] ? ann  6977: C:259 O:None G:None split NESCAFE LATTE 144G -> 259(REGIA KAKAO ORIGINAL) (0.3/s, ETA:48m)
  [960/1731] ? ann 24251: C:91 O:None G:None split KNEKKEBRØD 100 FRØ&HAVSAL -> 91(SANDWICH PESTO 37G W) (0.3/s, ETA:48m)
  [961/1731] ✓ ann 18830: C:103 O:103 G:103 agree KRYDDERMIKS SHISH KEBAB 1 -> 103(EVERGOOD DARK ROAST ) (0.3/s, ETA:48m)
  [962/1731] ✓ ann  2307: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:48m)
  [963/1731] ? ann 10195: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:47m)
  [964/1731] ✓ ann  3386: C:146 O:325 G:146 agree NESCAFE GOLD ORGANIC&FAIR -> 146(NESCAFE GULL 200G NE) (0.3/s, ETA:47m)
  [965/1731] ? ann 10196: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:47m)
  [966/1731] ✓ ann  2973: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:47m)
  [967/1731] ? ann 19507: C:338 O:52 G:None split FRUKOST FULLKORN 320G WAS -> 338(HUSMAN KNEKKEBRØD 52) (0.3/s, ETA:47m)
  [968/1731] ✓ ann 19793: C:271 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:47m)
  [969/1731] ✓ ann 22288: C:87 O:207 G:207 agree KNEKKEBRØD 100 FRØ&HAVSAL -> 207(LEKSANDS KNEKKE FIBE) (0.3/s, ETA:47m)
  [970/1731] ? ann 31263: C:25 O:None G:122 split RYVITA KNEKKEBRØD SESAM 2 -> 25(ALI MØRKBRENT KAFFEK) (0.3/s, ETA:47m)
  [971/1731] ? ann 17708: C:187 O:None G:None split CHEERIOS HAVRE 375G NESTL -> 187(WEETABIX ORIGINAL FR) (0.3/s, ETA:47m)
  [972/1731] ? ann 17983: C:79 O:None G:None split MUSLI ENERGI 675G AXA -> 79(PANNEKAKER GROVE STE) (0.3/s, ETA:47m)
  [973/1731] ? ann 25845: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:47m)
  [974/1731] ? ann 24308: C:42 O:None G:None split FLATBRØD MORS HJEMMEBAKTE -> 42(KNEKKS KJEKS M/SPELT) (0.3/s, ETA:47m)
  [975/1731] ✓ ann 10788: C:47 O:None G:47 agree SUPERGRANOLA GLUTENFRI 35 -> 47(GRANOLA EPLE&KANEL 4) (0.3/s, ETA:47m)
  [976/1731] ✓ ann  1074: C:16 O:16 G:16 agree NESCAFÉ CAPPUCCINO 100G N -> 16(CAPPUCCINO 8KAPSLER ) (0.3/s, ETA:47m)
  [977/1731] ? ann  1524: C:56 O:None G:None split NESCAFÉ CAPPUCCINO 100G N -> 56(SJOKOLADEDRIKK 10PK ) (0.3/s, ETA:47m)
  [978/1731] ✓ ann 25778: C:188 O:188 G:188 agree MAISKAKER OST 125G FRIGGS -> 188(MAISKAKER POPCORN 12) (0.3/s, ETA:47m)
  [979/1731] ? ann 24174: C:322 O:None G:87 split KNEKKEBRØD 100 FRØ&HAVSAL -> 322(STEKEMARGARIN 500G F) (0.3/s, ETA:46m)
  [980/1731] ✓ ann 31149: C:283 O:86 G:86 agree LEKSANDS KNEKKE GODT STEK -> 86(HAVRE KNEKKEBRØD 300) (0.3/s, ETA:46m)
  [981/1731] ✓ ann 24893: C:33 O:33 G:8 agree FLATBRØD 190G IDEAL -> 33(FLATBRØD MORS HJEMME) (0.3/s, ETA:46m)
  [982/1731] ✓ ann  2928: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:46m)
  [983/1731] ✓ ann  7852: C:81 O:224 G:224 agree SOFT FLORA ORIGINAL 540G -> 224(SOFT FLORA LETT 540G) (0.3/s, ETA:46m)
  [984/1731] ✓ ann 11755: C:75 O:75 G:75 agree CRUESLI SOLFROKOST 450G Q -> 75(CRUESLI 4 NUTS 450G ) (0.3/s, ETA:46m)
  [985/1731] ? ann 18788: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:46m)
  [986/1731] ? ann 13806: C:161 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:46m)
  [987/1731] ✓ ann 24553: C:273 O:41 G:41 agree SANDWICH PESTO 37G WASA -> 41(VITA HJERTEGO MYK PL) (0.3/s, ETA:46m)
  [988/1731] ? ann 27824: C:39 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 39(KNEKKEBRØD RUNDA KAN) (0.3/s, ETA:46m)
  [989/1731] ✓ ann  9210: C:220 O:104 G:220 agree MEIERISMØR 500G TINE -> 220(MEIERISMØR 250G BORD) (0.3/s, ETA:46m)
  [990/1731] ✓ ann 30386: C:271 O:271 G:271 agree FRUKOST FULLKORN 320G WAS -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:46m)
  [991/1731] ✓ ann  4763: C:325 O:325 G:325 agree NESCAFE GOLD ORGANIC&FAIR -> 325(NESCAFE GULL 100G) (0.3/s, ETA:46m)
  [992/1731] ? ann 11093: C:187 O:None G:None split CHEERIOS HAVRE 375G NESTL -> 187(WEETABIX ORIGINAL FR) (0.3/s, ETA:46m)
  [993/1731] ✓ ann 12055: C:262 O:262 G:262 agree SVARTHAVRERIS ØKOLOGISK D -> 262(HAVREGRØT STEEL CUT ) (0.3/s, ETA:46m)
  [994/1731] ✓ ann  3405: C:171 O:171 G:None agree ALI ORIGINAL KAFFEPUTER 1 -> 171(ALI ORIGINAL FILTERM) (0.3/s, ETA:45m)
  [995/1731] ? ann 28251: C:244 O:None G:None split HAVRE KNEKKEBRØD 300G WAS -> 244(RUGSPRØ HAVRE 180G W) (0.3/s, ETA:45m)
  [996/1731] ? ann 23673: C:284 O:None G:None split FIBER BALANCE 230G WASA -> 284(MELLOMBAR KOKOS&SJOK) (0.3/s, ETA:45m)
  [997/1731] ✓ ann 10581: C:47 O:47 G:47 agree SUPERGRANOLA GLUTENFRI 35 -> 47(GRANOLA EPLE&KANEL 4) (0.3/s, ETA:45m)
  [998/1731] ? ann 34134: C:271 O:None G:None split KNEKKEBRØD RUNDA SESAM&HA -> 271(FRUKOST KNEKKEBRØD 2) (0.3/s, ETA:45m)
  [999/1731] ✓ ann  7609: C:275 O:275 G:None agree GÅRDSEGG M/L 12STK ELDORA -> 275(EGG FRITTGÅENDE 18ST) (0.3/s, ETA:45m)
  [1000/1731] ? ann 14440: C:161 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 161(HAVRERINGER 250G SYN) (0.3/s, ETA:45m)
  [1001/1731] ? ann 12381: C:2 O:None G:None split HAVREGRØT ROSIN&VANILJE 5 -> 2(FROKOSTRINGER FRUKTS) (0.3/s, ETA:45m)
  [1002/1731] ✓ ann 11020: C:262 O:None G:262 agree GRANOLA MED JORDBÆR 390G  -> 262(HAVREGRØT STEEL CUT ) (0.3/s, ETA:45m)
